country,country_ranking,global_ranking,name
United States,4,10,amazon.com
United States,38,70,apple.com
China,32,45,Bing.com
United States,165,666,Eventbrite.com
United States,3,3,Facebook.com
United States,"1,534","2,249",Foursquare.com
United States,1,1,Google.com
United States,9,13,Instagram.com
United States,571,"2,674",MapQuest.com
United States,"2,015","11,598",Postmates.com
United States,80,210,TripAdvisor.com
United States,"5,882","8,969",Waze.com
United States,6,6,Yahoo.com
United States,34,182,Yelp.com
United States,657,"2,961",yellowpages.com
France,"2,406","61,055",118000.fr
United States,-,-,1888.nl
United Kingdom,637,"18,049",192.com
France,"2,406","61,055",118000.fr
India,"11,856","127,106",2findlocal.com
United States,"255,754","517,152",8coupons.com
India,"57,394","467,425",ABLocal.com
United Kingdom,"91,168","846,584",AccessPlace.com
United Kingdom,-,-,AirYell.com
United States,"18,474","23,156",allevents.in
United States,"257,747","829,168",AllergyEats.com
United States,"6,302","39,446",Allmenus.com
United States,"237,526","754,235",Allonesearch.com
United States,"72,935","207,108",AmericanTowns.com
Canada,"2,736","124,525",AOL.ca
Hungary,749,"154,852",AranyOldalak.hu
Canada,,"2,306,028",AroundMeApp.com
Hungary,,"1,584,652",Banks.com
United Kingdom,"8,220","148,700",Newsletter.co.uk
United States,"188,051","448,803",BetterDoctor.com
United States,"372,612","823,611",Bizwiki.com
Germany,"59,396","915,291",BranchenbuchDeutschland.de
India,"12,184","92,625",Brownbook.net
Germany,"35,583","690,723",Bundes-Telefonbuch.de
Spain,"47,142","1,094,856",Busqueda-Local.es
Netherlands,"44,750","1,381,706",Buurtlink.nl
Canada,579,"27,709",canada411.ca
United States,"22,687","137,372",CareDash.com
India,"18,188","205,885",CentralIndex.com
United States,"21,945","90,231",ChamberofCommerce.com
United States,"23,771","71,780",Citysearch.com
United States,"76,243","354,153",CitySpark.com
India,"15,148","136,981",CitySquares.com
United States,-,-,Credibility.com
India,"219,117","1,607,178",Cylex-International.com
United States,"5,235","28,311",dnb.com
Germany,269,"9,403",DasOertliche.de
United States,"7,861","43,820",delivery.com
Netherlands,"1,140","97,534",DeteleFoongids.nl
United States,"15,151","78,513",DexKnows.com
Germany,"41,890","644,512",Dialo.de
United States,"41,161","215,481",DocSpot.com
United States,"609,426","1,966,465",DrScore.com
United States,"35,475","148,226",eLocal.com
United States,-,-,EveningStandard.com
United States,"100,357","74,975",evensi.com
United States,"7,169","28,450",eventful.com
United States,"127,590","402,083",eventseeker.com
United States,"61,686","370,351",eviesays.com
United States,"405,331","1,890,280",EZDoctor.com
United States,"40,924","117,755",EZlocal.com
United States,"30,542","127,226",Factual.com
Germany,-,-,FindOpen.com
Germany,37,"1,036",focus.de
Germany,"118,339","2,108,615",freieauskunft.de
Germany,"1,037","26,928",GelbeSeiten.de
India,"28,650","259,358",GetFave.com
Germany,"3,413","86,526",GoLocal.de
United States,"93,053","303,035",GoLocal247.com
Germany,"3,512","81,353",GoYellow.de
United States,"2,164","2,707",Here.com
Austria,79,"18,560",Herold.at
United States,"34,469","86,888",Hotfrog.com
United States,"68,845","176,813",iBegin.com
Argentina,"6,771","108,996",iGlobal.co
Lithuania,"2,523","570,515",imones.lt
Germany,"10,138","27,599",Infobel.com
